#--------VEHICLE--------
attribute_dat,  attribute_src,      format, CHANGES

version,        version,            uint16, v & 0x7FFF if v & 0x8000 else 0
cost,           cost,               uint32,
payload,        zuladung,           uint16,
loading_time,   loading_time,       uint16, if v < 9 then ignored
top_speed,      topspeed,           uint16,
weight,         gewicht,            uint32, if v < 10 then gewicht *= 1000 and uint16
axle_load,      axle_load,          uint16, if v < 9 then ignored
power,          leistung,           uint32, if v < 6 then uint16
runningcost,    running_cost,       uint16,
fixcost,        fixed_cost,         uint32, if v in [9,10] then uint16 elif v < 9 then ignored
intro,          intro_date,         uint16,
retire,         obsolete_date,      uint16, if v < 3 then ignored
gear,           gear,               uint16, if v < 6 then uint8
waytype,        wt,                 uint8,
sound,          sound,              sint8,
engine_type,    engine_type,        uint8,
len,            len,                uint8, if v < 7 then ignored
constraint[pr], vorgaenger,         uint8,
constraint[nx], nachfolger,         uint8,
FreightImage,   freight_image_type, uint8, if v < 8 then ignored
